=== script_protocol=backtest_postmortem cmd=['python3', 'investment/scripts/backtest_postmortem.py'] started=2026-06-11T16:21:09 ===
Scanning 130 ticker-report files...
  2026-04-18 AMD: HOLD score=0.413 ret10d=24.218946492626394
  2026-04-18 INTC: HOLD score=None ret10d=45.78387097148791
  2026-04-18 MSFT: HOLD score=-0.09 ret10d=-1.0644179513169871
  2026-04-18 MU: BUY score=1.746 ret10d=28.551356974598917
  2026-04-19 CHRW: HOLD score=0.709 ret10d=-12.345741686240963
  2026-04-19 EME: BUY score=None ret10d=9.52341155913099
  2026-04-19 HPE: STAGED_ENTRY score=1.008 ret10d=3.2362446451408955
  2026-04-19 IR: HOLD score=0.432 ret10d=-12.149755049517442
  2026-04-21 AAPL: STAGED_ENTRY score=0.971 ret10d=6.766344193365192
  2026-04-21 ALAB: BUY score=None ret10d=12.356097864182857
  2026-04-21 APLD: HOLD score=0.452 ret10d=27.330783705932138
  2026-04-21 GOOGL: BUY score=1.611 ret10d=16.894875767313323
  2026-04-21 MRVL: BUY score=None ret10d=11.526008011898048
  2026-04-21 MU: STAGED_ENTRY score=1.117 ret10d=42.46295012035082
  2026-04-21 NTRS: BUY score=1.463 ret10d=-5.904273358167589
  2026-04-21 ORCL: HOLD score=0.102 ret10d=2.3072296609907506
  2026-04-21 STT: BUY score=None ret10d=-3.18422505386331
  2026-04-21 TEL: BUY score=None ret10d=-14.902537760452939
  2026-04-22 ALAB: BUY score=1.088 ret10d=10.228798491828384
  2026-04-22 GEV: BUY score=1.454 ret10d=-0.7627174792778413
  2026-04-22 HPE: HOLD score=0.517 ret10d=6.52402874577076
  2026-04-22 MRVL: BUY score=1.408 ret10d=9.4266373517913
  2026-04-22 MSFT: HOLD score=0.511 ret10d=-4.3795669834102435
  2026-04-22 NVDA: HOLD score=0.386 ret10d=2.632099669656629
  2026-04-23 POET: STAGED_ENTRY score=0.888 ret10d=-18.25938817888163
  2026-04-23 TSM: BUY score=2.203 ret10d=8.229234812369057
  2026-04-23 VRT: BUY score=1.429 ret10d=5.675216710372966
  2026-04-24 FCX: HOLD score=-0.0833 ret10d=0.9828047441712728
  2026-04-24 MRVL: HOLD score=0.7718 ret10d=3.542089593266118
  2026-04-24 MU: STAGED_ENTRY score=None ret10d=50.34828388695593
  2026-04-24 NEE: BUY score=None ret10d=-2.287993632562335
  2026-04-24 ON: HOLD score=0.534 ret10d=4.878044052774633
  2026-04-25 SNA: HOLD score=0.6545 ret10d=-3.643979951918963
  2026-04-26 AIZ: BUY score=None ret10d=4.907183786972835
  2026-04-26 AVGO: STAGED_ENTRY score=0.837 ret10d=2.4461932496753658
  2026-04-26 CSCO: STAGED_ENTRY score=0.839 ret10d=11.851346964990462
  2026-04-26 CSX: HOLD score=0.189 ret10d=-1.5838042686010079
  2026-04-26 DLR: STAGED_ENTRY score=1.131 ret10d=-0.050927394617283905
  2026-04-26 GSAT: BUY score=1.398 ret10d=0.4273485562884982
  2026-04-26 QCOM: HOLD score=0.732 ret10d=58.079334129411706
  2026-04-26 TSM: BUY score=2.133 ret10d=-0.10864794050813309
  2026-04-26 VRT: BUY score=1.991 ret10d=14.108495420801482
  2026-04-27 AAOI: HOLD score=0.5627 ret10d=26.83495365946125
  2026-04-27 ALAB: HOLD score=0.717 ret10d=5.446504651703621
  2026-04-27 ARM: HOLD score=None ret10d=-1.4962066487266834
  2026-04-27 CRM: HOLD score=0.6528 ret10d=-1.4929444399843006
  2026-04-27 FTV: HOLD score=0.3638 ret10d=-2.7414884603405243
  2026-04-27 GLW: HOLD score=0.897 ret10d=23.43908467969755
  2026-04-27 LITE: HOLD score=1.1 ret10d=22.4979032654391
  2026-04-27 MU: BUY score=1.197 ret10d=51.61850327731192
  2026-04-27 NOW: HOLD score=-0.317 ret10d=1.1498075739266866
  2026-04-27 NVDA: BUY score=None ret10d=1.3064963866305623
  2026-04-27 PKG: HOLD score=0.0748 ret10d=4.225092344968107
  2026-04-27 SLB: BUY score=None ret10d=-0.5431816758048824
  2026-04-27 TSM: BUY score=1.638 ret10d=-0.10864794050813309
  2026-04-28 BE: SELL score=None ret10d=23.99611631218983
  2026-04-28 HUBB: HOLD score=0.545 ret10d=-10.78188552023306
  2026-04-29 NVDA: HOLD score=0.92 ret10d=7.923537314721485
  2026-04-29 TSM: BUY score=1.225 ret10d=1.5158828490089205
  2026-05-01 AAPL: STAGED_ENTRY score=1.006 ret10d=7.171412610619954
  2026-05-01 GOOG: BUY score=1.319 ret10d=2.6355634025737817
  2026-05-01 LLY: BUY score=1.515 ret10d=4.317312352204383
  2026-05-01 MRVL: HOLD score=None ret10d=7.23855875253685
  2026-05-01 MU: BUY score=None ret10d=33.649313693629225
  2026-05-02 EME: HOLD score=None ret10d=-3.6330286917398147
